Maximum
Sample;Period per day
PhT64_32_2019-04-30_11-09-59
1;24;24;30;19;25;24
2;25;23;29;25;20;24
3;24;25;22;30;21;24
4;24;25;29;21;23;24
5;24;24;25;24;25;22
6;22;24;44;21;17;16
7;23;24;27;38;19
8;24;24;28;40;15;11
9;24;24;28;32;26;14
10;21;26;42;20;6;28
11;27;23;29;26;18;22
12;31;18;22;25;26;24
13;30;19;27;20;26;22
14;30;19;27;20;26;22
15;31;18;31;16;26;22
16;22;26;26;23;23;24
17;22;27;26;24;21;24
18;22;27;26;22;23;24
19;22;26;27;22;23;24
20;22;26;26;23;23;24
21;28;26;17;27;34;12
22;25;23;25;24;35;12
23;30;19;26;22;32;16
24;29;21;22;23;33;18
25;24;25;29;18;22;31
26;22;41;13;17;23;29
27;22;24;32;32;24
28;23;26;26;18;26;22
29;22;25;29;18;38
30;21;24;33;13;24;28
31;22;24;30;18;42;8
32;23;24;28;23;32;17
